filename	tipo	texto
lugar_secreto_1.jpeg	religioso	Capilla Las Peñuelas, sector de Quincanque
lugar_secreto_2.jpeg	religioso	Viceparroquia Nuestra Señora de los Dolores, Loica, San Pedro
lugar_secreto_3.jpeg	religioso	Animita en la cumbre de la cuesta Los Guindos
lugar_secreto_4.jpeg	religioso	Gruta de la Virgen de Los Motores, Licancheu, Navidad
lugar_secreto_5.jpeg	industrial	Infraestructura hídrica, La Boca, Navidad
lugar_secreto_6.jpeg	histórico	Casona abandonada cerca de El Monte
lugar_secreto_7.jpeg	histórico	Casonas antiguas en camino viejo a Casablanca
lugar_secreto_8.jpeg	religioso	Animita en la cima de la cuesta Lo Prado
lugar_secreto_9.jpeg	curioso	Torre Eiffel en un patio
lugar_secreto_10.jpeg	cultural	Soldador de metal en Matta Sur
lugar_secreto_11.jpeg	misterioso	Espantapájaros
lugar_secreto_12.jpeg	curioso	Vehículo de Infantería motorizada abandonado
lugar_secreto_13.jpeg	industrial	Infraestructura ferroviaria abandonada en Tiltil
lugar_secreto_14.jpeg	cultural	Relieve en San Miguel
lugar_secreto_15.jpeg	industrial	Túneles del parque inundable Víctor Jara
lugar_secreto_16.jpeg	misterioso	Cementerio viejo de La Dormida
lugar_secreto_17.jpeg	religioso	Capilla de La Dormida
lugar_secreto_18.jpeg	misterioso	Pueblo de El Volcán, Cajón del Maipo
lugar_secreto_19.jpeg	misterioso	Refugio abandonado en Lagunillas, Cajón del Maipo
lugar_secreto_20.jpeg	religioso	Virgen en el árbol, sector Cervera
lugar_secreto_21.jpeg	religioso	Plaza e iglesia de El Recurso
lugar_secreto_22.jpeg	curioso	Camino de tierra al canal Las Perdices
lugar_secreto_23.jpeg	religioso	Animita en una escalera de Lo Barnechea
lugar_secreto_24.jpeg	religioso	Gruta cerca de Valdivia de Paine
lugar_secreto_25.jpeg	religioso	Gruta sobre riachuelo después de La Dormida, camino a Olmúe
lugar_secreto_31.jpeg	curioso	Escultura de palta en plaza de La Cruz
lugar_secreto_32.jpeg	histórico	Ruinas dentro de biblioteca de Ñuñoa
lugar_secreto_33.jpeg	curioso	Caballitos en una plaza de El Bosque
lugar_secreto_34.jpeg	histórico	Molino en Las Mercedes, Puente Alto
lugar_secreto_35.jpeg	industrial	Carro sobre riel cerca de hidroeléctrica, camino al Alfalfal, Cajón del Maipo
lugar_secreto_41.jpeg	religioso	Animita sobre cerro en la desembocadura del Río Rapel, La Boca
lugar_secreto_42.jpeg	religioso	Cruz en el bosque esclerófilo Panul, La Florida
lugar_secreto_43.jpeg	industrial	Infreaestructura minera en la carretera del ácido, Coya
lugar_secreto_44.jpeg	naturaleza	Río Cholqui debajo de una pasarela, cerca de Melipilla
lugar_secreto_45.jpeg	curioso	Casa de Chayanne, Rancagua
lugar_secreto_51.jpeg	religioso	Gruta de la Virgen de Lourdes, Curimón, San Felipe
lugar_secreto_52.jpeg	religioso	Animita, Olivar Bajo
lugar_secreto_53.jpeg	religioso	Virgen en una caída de agua, después de la cuesta Chada, La Punta
lugar_secreto_54.jpeg	religioso	Iglesia de madera, sector El Barrancón, San Bernardo
lugar_secreto_55.jpeg	religioso	Virgen en las rocas, Río Colorado, camino al Alfalfal, San José de Maipo
lugar_secreto_71.jpeg	industrial	Galpón en los caracoles del Paso Internacional Los Libertadores
