filename;texto
lugar_secreto_1.jpeg;Capilla Las Peñuelas, sector de Quincanque
lugar_secreto_2.jpeg;Viceparroquia Nuestra Señora de los Dolores, Loica, San Pedro
lugar_secreto_3.jpeg;Animita en la cumbre de la cuesta Los Guindos
lugar_secreto_4.jpeg;Gruta de la Virgen de Los Motores, Licancheu, Navidad
lugar_secreto_5.jpeg;Infraestructura hídrica, La Boca, Navidad
lugar_secreto_6.jpeg;Casona abandonada cerca de El Monte
lugar_secreto_7.jpeg;Casonas antiguas en camino viejo a Casablanca
lugar_secreto_8.jpeg;Animita en la cima de la cuesta Lo Prado
lugar_secreto_9.jpeg;Torre Eiffel en un patio
lugar_secreto_10.jpeg;Soldador de metal en Matta Sur
lugar_secreto_11.jpeg;Espantapájaros
lugar_secreto_12.jpeg;Vehículo de Infantería motorizada abandonado
lugar_secreto_13.jpeg;Infraestructura ferroviaria abandonada en Tiltil
lugar_secreto_14.jpeg;Relieve en San Miguel
lugar_secreto_15.jpeg;Túneles del parque inundable Víctor Jara
lugar_secreto_16.jpeg;Cementerio viejo de La Dormida
lugar_secreto_17.jpeg;Capilla de La Dormida
lugar_secreto_18.jpeg;Pueblo de El Volcán, Cajón del Maipo
lugar_secreto_19.jpeg;Refugio abandonado en Lagunillas, Cajón del Maipo
lugar_secreto_20.jpeg;Virgen en el árbol, sector Cervera
lugar_secreto_21.jpeg;Plaza e iglesia de El Recurso
lugar_secreto_22.jpeg;Camino de tierra al canal Las Perdices
lugar_secreto_23.jpeg;Animita en una escalera de Lo Barnechea
lugar_secreto_24.jpeg;Gruta cerca de Valdivia de Paine
lugar_secreto_25.jpeg;Gruta sobre riachuelo después de La Dormida, camino a Olmúe
lugar_secreto_31.jpeg;Escultura de palta en plaza de La Cruz
lugar_secreto_32.jpeg;Ruinas dentro de biblioteca de Ñuñoa
lugar_secreto_33.jpeg;Caballitos en una plaza de El Bosque
lugar_secreto_34.jpeg;Molino en Las Mercedes, Puente Alto
lugar_secreto_35.jpeg;Carro sobre riel cerca de hidroeléctrica, camino al Alfalfal, Cajón del Maipo
lugar_secreto_41.jpeg;Animita sobre cerro en la desembocadura del Río Rapel, La Boca
lugar_secreto_42.jpeg;Cruz en el bosque esclerófilo Panul, La Florida
lugar_secreto_43.jpeg;Infreaestructura minera en la carretera del ácido, Coya
lugar_secreto_44.jpeg;Río Cholqui debajo de una pasarela, cerca de Melipilla
lugar_secreto_45.jpeg;Casa de Chayanne, Rancagua
lugar_secreto_51.jpeg;Gruta de la Virgen de Lourdes, Curimón, San Felipe
lugar_secreto_52.jpeg;Animita, Olivar Bajo
lugar_secreto_53.jpeg;Virgen en una caída de agua, después de la cuesta Chada, La Punta
lugar_secreto_54.jpeg;Iglesia de madera, sector El Barrancón, San Bernardo
lugar_secreto_55.jpeg;Virgen en las rocas, Río Colorado, camino al Alfalfal, San José de Maipo
lugar_secreto_71.jpeg;Galpón en los caracoles del Paso Internacional Los Libertadores
lugar_secreto_72.jpeg;Estructura abandonada antes de los caracoles del Paso Internacional Los Libertadores
lugar_secreto_73.jpeg;Iglesia pasado Los Andes, camino al Paso Internacional Los Libertadores
lugar_secreto_74.jpeg;Túneles ferroviarios abandonados sobre el río Aconcagua, Los Andes
lugar_secreto_75.jpeg;Iglesia pasado Los Andes, camino al Paso Internacional Los Libertadores
lugar_secreto_76.jpeg;Capilla, sector El Abra, Requínoa
lugar_secreto_77.jpeg;Casona abandonada y derrumbada, sector Chorombo, Ibacache
lugar_secreto_110.jpeg;Barco abandonado cerca del terminal pesquero de Lo Espejo
lugar_secreto_111.jpeg;Túnel en el sector de Las Varas, camino a Farellones
lugar_secreto_112.jpeg;Subestación eléctrica abandonada de Rungue
lugar_secreto_11212.jpeg;Gruta en una cueva
lugar_secreto_113.jpeg;Cristo metálico WarHammer 40K
lugar_secreto_114.jpeg;Túnel El Tinoco
lugar_secreto_115.jpeg;Infraestructura de hidroeléctrica, río Colorado
lugar_secreto_116.jpeg;Edificio de departamentos abandonado, Rancagua
lugar_secreto_117.jpeg;Chimeneas Lechería
lugar_secreto_118.jpeg;Túneles del parque inundable, Zanjón de la Aguada
lugar_secreto_119.jpeg;Altar a San Expedito
lugar_secreto_1110.jpeg;Bicicleta en ruta Concón-Quillota
lugar_secreto_1111.jpeg;Pinguino satánico
lugar_secreto_1112.jpeg;Cervecería CCU, Limache
lugar_secreto_1113.jpeg;Pirque, arriero metálico
lugar_secreto_1114.jpeg;Subterráneo de la Iglesia de los Sacramentinos
lugar_secreto_1115.jpeg;Interior de la Iglesia de Santa Ana
lugar_secreto_1116.jpeg;Esculturas en quebrada de Algarrobo
lugar_secreto_1117.jpeg;Virgen en la playa de Las Cruces
lugar_secreto_1118.jpeg;Cristo rural
lugar_secreto_1119.jpeg;Altar a al virgen, Nuestra Señora del Carmen, Puangue
lugar_secreto_1120.jpeg;Pasarelas, villa Portales
lugar_secreto_1121.jpeg;Paso bajo nivel, avenida Carrascal
lugar_secreto_1122.jpeg;Cueva en cerro Santa Lucía
lugar_secreto_1123.jpeg;Debajo de la autopista Vespucio, El Cortijo
lugar_secreto_1124.jpeg;Virgen en hospital Salvador
lugar_secreto_1125.jpeg;Interior del campanario de la Catedral de Santiago
lugar_secreto_1126.jpeg;Torreón, Matta Sur
lugar_secreto_1127.jpeg;Maestranza
lugar_secreto_1128.jpeg;Virgen en el cerro, camino al Toyo
lugar_secreto_1129.jpeg;Casona embrujada, camino al Volcán
lugar_secreto_1130.jpeg;Capilla Nuestra Señora de Las Mercedes, El Volcán
lugar_secreto_1131.jpeg;Hidroeléctrica
lugar_secreto_1132.jpeg;Memorial a Reinalda Del Carmen Pereira
lugar_secreto_1133.jpeg;Memorial a víctimas de la dictadura, cuesta Barriga
lugar_secreto_1134.jpeg;Paso inferior de agua, camino al Toyo
lugar_secreto_11112.jpeg;Compuertas de la represa del lago Rapel
